anno,settimana,numero_casi,numero_assistiti,incidenza,target
2024,42,373,86526,4.31084298361186,ILI
2024,43,337,86526,3.89478307098444,ILI
2024,44,317,86526,3.66363867508032,ILI
2024,45,442,86526,5.10829114948108,ILI
2024,46,523,86526,6.04442595289277,ILI
2024,47,540,86526,6.24089868941128,ILI
2024,48,546,84721,6.44468313641246,ILI
2024,49,625,84721,7.37715560486774,ILI
2024,50,685,84721,8.08536254293505,ILI
2024,51,818,84721,9.6552212556509,ILI
2024,52,901,82474,10.9246550428014,ILI
2025,1,1056,83563,12.6371719540945,ILI
2025,2,1307,83563,15.6408936969711,ILI
2025,3,1304,83563,15.6049926402834,ILI
2025,4,1445,83563,17.2923423046085,ILI
2025,5,1321,83563,15.8084319615141,ILI
2025,6,1089,83563,13.03208357766,ILI
2025,7,1012,83563,12.1106231226739,ILI
2025,8,924,83563,11.0575254598327,ILI
2025,9,727,81928,8.87364515184064,ILI
2025,10,630,81928,7.68967874231032,ILI
2025,11,501,78710,6.36513784779571,ILI
2025,12,396,77107,5.1357204923029,ILI
2025,13,315,75364,4.17971445252375,ILI
2025,14,304,73848,4.11656375257285,ILI
2025,15,293,72307,4.05216645691289,ILI
2025,16,201,67804,2.96442687747036,ILI
2025,17,114,50952,2.23739990579369,ILI
