anno,settimana,incidenza,target
2024,46,0.0626,ILI+_FLU_B
2024,47,0.0895,ILI+_FLU_B
2024,48,0.1522,ILI+_FLU_B
2024,49,0.1956,ILI+_FLU_B
2024,50,0.3582,ILI+_FLU_B
2024,51,0.5885,ILI+_FLU_B
2024,52,0.7881,ILI+_FLU_B
2025,1,1.0593,ILI+_FLU_B
2025,2,1.4985,ILI+_FLU_B
2025,3,1.9644,ILI+_FLU_B
2025,4,2.9074,ILI+_FLU_B
2025,5,3.2512,ILI+_FLU_B
2025,6,3.1301,ILI+_FLU_B
2025,7,3.2428,ILI+_FLU_B
2025,8,2.8597,ILI+_FLU_B
2025,9,2.6462,ILI+_FLU_B
2025,10,1.9758,ILI+_FLU_B
2025,11,1.7445,ILI+_FLU_B
2025,12,1.0851,ILI+_FLU_B
2025,13,0.6604,ILI+_FLU_B
2025,14,0.6471,ILI+_FLU_B
2025,15,0.3727,ILI+_FLU_B
2025,16,0.2389,ILI+_FLU_B
