anno,settimana,incidenza,target
2024,46,0.0627,ILI+_FLU_B
2024,47,0.0896,ILI+_FLU_B
2024,48,0.1523,ILI+_FLU_B
2024,49,0.1958,ILI+_FLU_B
2024,50,0.3587,ILI+_FLU_B
2024,51,0.5893,ILI+_FLU_B
2024,52,0.7894,ILI+_FLU_B
2025,1,1.0618,ILI+_FLU_B
2025,2,1.5017,ILI+_FLU_B
2025,3,1.9686,ILI+_FLU_B
2025,4,2.9136,ILI+_FLU_B
2025,5,3.261,ILI+_FLU_B
2025,6,3.1391,ILI+_FLU_B
2025,7,3.2525,ILI+_FLU_B
2025,8,2.8672,ILI+_FLU_B
2025,9,2.6544,ILI+_FLU_B
2025,10,1.9842,ILI+_FLU_B
2025,11,1.7517,ILI+_FLU_B
2025,12,1.0903,ILI+_FLU_B
2025,13,0.6581,ILI+_FLU_B
2025,14,0.6315,ILI+_FLU_B
2025,15,0.2999,ILI+_FLU_B
