anno,settimana,incidenza,numero_casi,numero_assistiti,target
2017,44,0.0,0.0,0.0,ILI
2017,45,0.0,0.0,0.0,ILI
2017,46,0.56,5.0,8904.0,ILI
2017,47,0.56,5.0,8904.0,ILI
2017,48,0.9,8.0,8904.0,ILI
2017,49,0.79,7.0,8904.0,ILI
2017,50,1.85,20.0,10829.0,ILI
2017,51,2.9,19.0,6541.0,ILI
2017,52,3.66,26.0,7111.0,ILI
2018,1,5.83,81.0,13896.0,ILI
2018,2,6.26,72.0,11502.0,ILI
2018,3,6.63,89.0,13427.0,ILI
2018,4,8.6,118.0,13716.0,ILI
2018,5,7.77,81.0,10425.0,ILI
2018,6,6.89,77.0,11178.0,ILI
2018,7,7.23,39.0,5394.0,ILI
2018,8,6.12,75.0,12260.0,ILI
2018,9,3.24,31.0,9579.0,ILI
2018,10,1.8,16.0,8904.0,ILI
2018,11,3.43,36.0,10499.0,ILI
2018,12,1.24,11.0,8904.0,ILI
