anno,settimana,incidenza,numero_casi,numero_assistiti
2012,44,0.3,3.0,9996.0
2012,45,0.07,1.0,14510.0
2012,46,0.41,6.0,14753.0
2012,47,0.49,6.0,12190.0
2012,48,0.61,8.0,13115.0
2012,49,0.21,3.0,14297.0
2012,50,1.81,25.0,13831.0
2012,51,3.52,25.0,7097.0
2012,52,3.52,25.0,7097.0
2013,01,2.11,27.0,12783.0
2013,02,3.39,50.0,14762.0
2013,03,5.81,77.0,13248.0
2013,04,8.38,131.0,15629.0
2013,05,13.69,199.0,14531.0
2013,06,13.56,203.0,14972.0
2013,07,10.77,151.0,14022.0
2013,08,11.23,163.0,14510.0
2013,09,9.55,129.0,13504.0
2013,10,6.91,123.0,17794.0
2013,11,4.33,78.0,18014.0
