anno,settimana,numero_casi,numero_assistiti,incidenza,target
2025,42,18435,2582795,7.14,ARI
2025,43,18958,2611297,7.26,ARI
2025,44,19646,2641189,7.44,ARI
2025,45,20929,2666072,7.85,ARI
2025,46,22838,2691362,8.49,ARI
2025,47,25513,2698642,9.45,ARI
2025,48,29144,2705172,10.77,ARI
2025,49,35116,2698871,13.01,ARI
2025,50,40171,2689386,14.94,ARI
2025,51,46359,2659721,17.43,ARI
2025,52,38559,2576530,14.97,ARI
2026,01,38174,2515508,15.18,ARI
2026,02,36152,2540534,14.23,ARI
2026,03,31180,2415554,12.91,ARI
2026,04,20146,1782137,11.3,ARI
