anno,settimana,numero_casi,numero_assistiti,incidenza
2023,42,10154,2051828,4.95
2023,43,10691,2060592,5.19
2023,44,11522,2067009,5.57
2023,45,14626,2115295,6.91
2023,46,17871,2163533,8.26
2023,47,21359,2192622,9.74
2023,48,25457,2210823,11.51
2023,49,27922,2226261,12.54
2023,50,35207,2233002,15.77
2023,51,39903,2188390,18.23
2023,52,39843,2157449,18.47
2024,1,36694,2158721,17.0
2024,2,31433,2186699,14.37
2024,3,25747,2169643,11.87
2024,4,21269,2147686,9.9
2024,5,19012,2125163,8.95
2024,6,17122,2110424,8.11
2024,7,14982,2090094,7.17
2024,8,14439,2062157,7.0
2024,9,13070,2023514,6.46
2024,10,12027,1970076,6.1
2024,11,11251,1927312,5.84
2024,12,10539,1859037,5.67
2024,13,8553,1654560,5.17
2024,14,6340,1314782,4.82
