anno,settimana,numero_casi,numero_assistiti,incidenza
2023,42,10142,2045915,4.96
2023,43,10677,2054011,5.2
2023,44,11518,2061628,5.59
2023,45,14622,2109914,6.93
2023,46,17863,2158152,8.28
2023,47,21337,2185541,9.76
2023,48,25424,2202747,11.54
2023,49,27889,2217522,12.58
2023,50,35162,2224263,15.81
2023,51,39785,2176132,18.28
2023,52,39744,2143074,18.55
2024,1,36546,2142792,17.06
2024,2,31163,2162396,14.41
2024,3,25379,2137845,11.87
2024,4,20885,2107312,9.91
2024,5,18399,2059757,8.93
2024,6,16358,2018987,8.1
2024,7,13830,1944761,7.11
2024,8,12738,1817166,7.01
2024,9,9355,1425651,6.56
