anno,settimana,numero_casi,numero_assistiti,incidenza
2023,42,10121,2038656,4.96
2023,43,10655,2047131,5.2
2023,44,11505,2054748,5.6
2023,45,14575,2103034,6.93
2023,46,17685,2147803,8.23
2023,47,21211,2175192,9.75
2023,48,25287,2189459,11.55
2023,49,27756,2205535,12.58
2023,50,34966,2211308,15.81
2023,51,39562,2160444,18.31
2023,52,39500,2122840,18.61
2024,1,36278,2117968,17.13
2024,2,30484,2123396,14.36
2024,3,24522,2072923,11.83
2024,4,19704,1999418,9.85
2024,5,16069,1840763,8.73
2024,6,11670,1444436,8.08
