anno,settimana,incidenza,target
2023,46,0.34,ILI+_FLU_A
2023,47,0.73,ILI+_FLU_A
2023,48,1.52,ILI+_FLU_A
2023,49,2.27,ILI+_FLU_A
2023,50,5.39,ILI+_FLU_A
2023,51,8.5,ILI+_FLU_A
2023,52,10.9,ILI+_FLU_A
2024,1,9.93,ILI+_FLU_A
2024,2,8.03,ILI+_FLU_A
2024,3,5.89,ILI+_FLU_A
2024,4,3.68,ILI+_FLU_A
2024,5,2.83,ILI+_FLU_A
2024,6,1.88,ILI+_FLU_A
2024,7,1.27,ILI+_FLU_A
2024,8,0.99,ILI+_FLU_A
2024,9,0.56,ILI+_FLU_A
2024,10,0.5,ILI+_FLU_A
2024,11,0.24,ILI+_FLU_A
2024,12,0.23,ILI+_FLU_A
2024,13,0.11,ILI+_FLU_A
