anno,settimana,incidenza,numero_casi,numero_assistiti
2014,45,0.67,58.0,86654.0
2014,46,0.9,61.0,67888.0
2014,47,0.8,60.0,74889.0
2014,48,1.23,84.0,68335.0
2014,49,0.85,63.0,74539.0
2014,50,0.96,70.0,73059.0
2014,51,1.24,88.0,70767.0
2014,52,1.24,88.0,70767.0
2015,01,2.24,148.0,66191.0
2015,02,3.0,234.0,77909.0
2015,03,3.3,227.0,68795.0
2015,04,3.3,227.0,68795.0
2015,05,4.89,356.0,72762.0
2015,06,4.97,356.0,71567.0
2015,07,5.49,422.0,76805.0
2015,08,4.96,371.0,74867.0
2015,09,4.79,333.0,69488.0
2015,10,4.66,335.0,71863.0
